shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
60922,33.656822,-117.732899,1
60922,33.656845,-117.732932,2
60922,33.656848,-117.733019,3
60922,33.656832,-117.733086,4
60922,33.656822,-117.733111,5
60922,33.656785,-117.733145,6
60922,33.656718,-117.733167,7
60922,33.656674,-117.733161,8
60922,33.656611,-117.733132,9
60922,33.65651,-117.732988,10
60922,33.65613,-117.732448,11
60922,33.656076,-117.732351,12
60922,33.655526,-117.732453,13
60922,33.655581,-117.732531,14
60922,33.655696,-117.732694,15
60922,33.656136,-117.733319,16
60922,33.656286,-117.73353,17
60922,33.656772,-117.734221,18
60922,33.656875,-117.734362,19
60922,33.656788,-117.734458,20
60922,33.656616,-117.734638,21
60922,33.656404,-117.734859,22
60922,33.656395,-117.734868,23
60922,33.656312,-117.734955,24
60922,33.656196,-117.73509,25
60922,33.656148,-117.735213,26
60922,33.656135,-117.735243,27
60922,33.655975,-117.735401,28
60922,33.655884,-117.735491,29
60922,33.655796,-117.735512,30
60922,33.655631,-117.735674,31
60922,33.655473,-117.735829,32
60922,33.655365,-117.735935,33
60922,33.654783,-117.736608,34
60922,33.654618,-117.736815,35
60922,33.65458,-117.736951,36
60922,33.654309,-117.73731,37
60922,33.654285,-117.73733,38
60922,33.654183,-117.737414,39
60922,33.654288,-117.737525,40
60922,33.654308,-117.737545,41
60922,33.654452,-117.737708,42
60922,33.654494,-117.737762,43
60922,33.65459,-117.737888,44
60922,33.65468,-117.738012,45
60922,33.654778,-117.738157,46
60922,33.654897,-117.738342,47
60922,33.654979,-117.738481,48
60922,33.655061,-117.738632,49
60922,33.655127,-117.73876,50
60922,33.655163,-117.73883,51
60922,33.655243,-117.738996,52
60922,33.655319,-117.739166,53
60922,33.655403,-117.739379,54
60922,33.655411,-117.739403,55
60922,33.655446,-117.739509,56
60922,33.655504,-117.739668,57
60922,33.655544,-117.739788,58
60922,33.65555,-117.739806,59
60922,33.655685,-117.740306,60
60922,33.655767,-117.740727,61
60922,33.655791,-117.740878,62
60922,33.655818,-117.741047,63
60922,33.655837,-117.741198,64
60922,33.655875,-117.741527,65
60922,33.655896,-117.741742,66
60922,33.655907,-117.741903,67
60922,33.655912,-117.742043,68
60922,33.655913,-117.742175,69
60922,33.655912,-117.742347,70
60922,33.655909,-117.742517,71
60922,33.655898,-117.742733,72
60922,33.655887,-117.74289,73
60922,33.65587,-117.743049,74
60922,33.655812,-117.743517,75
60922,33.65577,-117.743844,76
60922,33.655768,-117.743856,77
60922,33.655696,-117.744417,78
60922,33.655672,-117.744602,79
60922,33.655644,-117.744826,80
60922,33.655617,-117.745057,81
60922,33.655577,-117.745477,82
60922,33.655529,-117.745953,83
60922,33.655512,-117.746117,84
60922,33.655496,-117.746325,85
60922,33.65547,-117.746668,86
60922,33.655456,-117.746886,87
60922,33.655274,-117.746864,88
60922,33.65514,-117.746852,89
60922,33.65506,-117.746841,90
60922,33.65491,-117.74682,91
60922,33.654814,-117.746799,92
60922,33.654487,-117.74669,93
60922,33.654138,-117.746519,94
60922,33.653831,-117.746324,95
60922,33.653579,-117.74616,96
60922,33.653468,-117.746087,97
60922,33.653464,-117.746085,98
60922,33.653455,-117.746079,99
60922,33.653365,-117.746022,100
60922,33.653277,-117.746195,101
60922,33.653131,-117.746411,102
60922,33.653017,-117.74654,103
60922,33.652858,-117.746694,104
60922,33.652721,-117.746804,105
60922,33.65266,-117.746842,106
60922,33.652535,-117.746918,107
60922,33.65235,-117.747018,108
60922,33.652191,-117.747076,109
60922,33.652102,-117.747101,110
60922,33.652023,-117.747114,111
60922,33.651952,-117.747125,112
60922,33.651802,-117.747133,113
60922,33.651658,-117.747124,114
60922,33.651449,-117.747082,115
60922,33.651294,-117.747041,116
60922,33.65136,-117.747195,117
60922,33.651308,-117.747954,118
60922,33.651308,-117.747958,119
60922,33.651275,-117.748443,120
60922,33.651273,-117.74847,121
60922,33.651224,-117.7486,122
60922,33.651189,-117.748693,123
60922,33.651277,-117.748668,124
60922,33.651372,-117.748642,125
60922,33.651405,-117.74865,126
60922,33.651531,-117.748671,127
60922,33.651946,-117.748739,128
60922,33.652419,-117.748775,129
60922,33.652628,-117.748776,130
60922,33.653234,-117.748777,131
60922,33.653363,-117.748778,132
60922,33.653512,-117.748783,133
60922,33.654332,-117.748811,134
60922,33.654371,-117.748812,135
60922,33.654483,-117.748814,136
60922,33.655082,-117.748825,137
60922,33.655219,-117.748822,138
60922,33.655392,-117.748821,139
60922,33.655385,-117.749048,140
60922,33.655379,-117.749222,141
60922,33.655379,-117.749246,142
60922,33.655373,-117.749602,143
60922,33.655368,-117.749995,144
60922,33.655358,-117.750706,145
60922,33.655357,-117.750769,146
60922,33.655349,-117.751298,147
60922,33.655347,-117.751496,148
60922,33.655347,-117.75155,149
60922,33.655346,-117.751685,150
60922,33.655348,-117.751992,151
60922,33.655359,-117.752358,152
60922,33.655361,-117.752394,153
60922,33.65537,-117.752549,154
60922,33.655381,-117.752738,155
60922,33.655382,-117.75275,156
60922,33.655393,-117.752923,157
60922,33.655411,-117.753159,158
60922,33.655441,-117.75345,159
60922,33.655478,-117.753753,160
60922,33.65551,-117.753989,161
60922,33.655547,-117.754224,162
60922,33.655623,-117.754656,163
60922,33.655624,-117.754663,164
60922,33.655635,-117.754726,165
60922,33.655665,-117.75488,166
60922,33.655698,-117.755034,167
60922,33.655773,-117.755363,168
60922,33.655782,-117.755398,169
60922,33.65579,-117.755425,170
60922,33.65581,-117.755496,171
60922,33.655828,-117.755552,172
60922,33.655835,-117.755575,173
60922,33.65585,-117.755635,174
60922,33.655878,-117.755753,175
60922,33.655919,-117.755908,176
60922,33.655959,-117.756049,177
60922,33.656019,-117.756247,178
60922,33.656044,-117.756328,179
60922,33.656134,-117.756614,180
60922,33.656256,-117.756959,181
60922,33.656475,-117.757544,182
60922,33.656793,-117.758393,183
60922,33.656929,-117.758757,184
60922,33.657036,-117.759043,185
60922,33.657126,-117.759284,186
60922,33.6573,-117.759746,187
60922,33.657353,-117.759884,188
60922,33.657402,-117.760007,189
60922,33.657441,-117.760134,190
60922,33.657564,-117.760558,191
60922,33.657618,-117.760778,192
60922,33.657656,-117.760963,193
60922,33.657679,-117.761092,194
60922,33.6577,-117.761226,195
60922,33.657721,-117.761371,196
60922,33.657732,-117.761447,197
60922,33.657758,-117.761676,198
60922,33.657774,-117.761882,199
60922,33.657776,-117.761919,200
60922,33.657779,-117.762006,201
60922,33.657781,-117.762049,202
60922,33.657785,-117.76212,203
60922,33.657786,-117.762204,204
60922,33.657787,-117.762351,205
60922,33.657786,-117.762493,206
60922,33.657779,-117.762646,207
60922,33.657769,-117.762825,208
60922,33.657755,-117.763006,209
60922,33.657738,-117.763182,210
60922,33.657715,-117.763347,211
60922,33.657704,-117.763418,212
60922,33.65769,-117.763502,213
60922,33.65765,-117.763716,214
60922,33.657589,-117.764016,215
60922,33.657529,-117.764313,216
60922,33.657514,-117.764384,217
60922,33.657484,-117.764519,218
60922,33.65734,-117.765209,219
60922,33.657276,-117.765513,220
60922,33.657268,-117.765549,221
60922,33.657247,-117.765648,222
60922,33.657164,-117.766047,223
60922,33.657061,-117.766518,224
60922,33.657055,-117.766546,225
60922,33.657026,-117.766676,226
60922,33.656998,-117.766855,227
60922,33.656954,-117.76712,228
60922,33.656931,-117.767276,229
60922,33.656898,-117.767584,230
60922,33.656892,-117.767686,231
60922,33.656889,-117.767737,232
60922,33.656886,-117.767821,233
60922,33.656885,-117.767848,234
60922,33.656884,-117.767889,235
60922,33.656881,-117.768047,236
60922,33.656881,-117.768275,237
60922,33.656883,-117.768304,238
60922,33.65689,-117.76842,239
60922,33.656895,-117.768547,240
60922,33.656902,-117.768667,241
60922,33.656917,-117.768858,242
60922,33.656939,-117.769033,243
60922,33.656969,-117.769235,244
60922,33.656998,-117.769406,245
60922,33.657036,-117.769596,246
60922,33.657079,-117.769785,247
60922,33.657108,-117.769898,248
60922,33.657139,-117.77001,249
60922,33.657171,-117.770123,250
60922,33.657205,-117.770234,251
60922,33.657242,-117.770343,252
60922,33.657255,-117.770382,253
60922,33.657264,-117.770406,254
60922,33.657329,-117.770581,255
60922,33.657344,-117.770621,256
60922,33.657443,-117.770846,257
60922,33.657509,-117.770988,258
60922,33.657601,-117.77117,259
60922,33.657747,-117.771437,260
60922,33.657798,-117.77152,261
60922,33.657851,-117.771601,262
60922,33.657956,-117.771765,263
60922,33.658074,-117.771938,264
60922,33.658195,-117.772107,265
60922,33.658376,-117.772366,266
60922,33.658628,-117.772736,267
60922,33.658651,-117.77277,268
60922,33.658731,-117.772882,269
60922,33.658824,-117.773023,270
60922,33.65932,-117.77373,271
60922,33.659504,-117.773993,272
60922,33.659624,-117.774165,273
60922,33.659627,-117.774168,274
60922,33.659826,-117.774457,275
60922,33.659921,-117.774593,276
60922,33.660034,-117.774758,277
60922,33.660208,-117.775007,278
60922,33.660223,-117.775028,279
60922,33.660358,-117.775228,280
60922,33.660403,-117.775036,281
60922,33.660919,-117.774528,282
60922,33.661958,-117.773469,283
60922,33.662071,-117.773362,284
60922,33.662661,-117.772805,285
60922,33.662766,-117.772699,286
60922,33.663553,-117.77191,287
60922,33.663619,-117.771841,288
60922,33.663945,-117.771549,289
60922,33.663977,-117.771519,290
60922,33.664108,-117.771394,291
60922,33.66413,-117.771375,292
60922,33.664193,-117.77132,293
60922,33.664388,-117.771139,294
60922,33.664409,-117.77112,295
60922,33.664475,-117.771057,296
60922,33.664595,-117.770949,297
60922,33.664698,-117.771086,298
60922,33.664777,-117.771201,299
60922,33.665039,-117.771566,300
60922,33.665456,-117.772026,301
60922,33.666018,-117.772577,302
60922,33.666354,-117.772981,303
60922,33.666491,-117.773146,304
60922,33.666669,-117.773422,305
60922,33.66692,-117.773776,306
60922,33.666934,-117.773797,307
60922,33.666983,-117.773867,308
60922,33.667052,-117.773984,309
60922,33.667103,-117.774071,310
60922,33.667452,-117.774669,311
60922,33.667805,-117.775295,312
60922,33.668036,-117.775784,313
60922,33.668262,-117.776351,314
60922,33.668762,-117.777561,315
60922,33.668974,-117.777991,316
60922,33.669177,-117.778351,317
60922,33.669402,-117.778694,318
60922,33.669641,-117.779012,319
60922,33.670894,-117.78045,320
60922,33.671413,-117.781097,321
60922,33.672001,-117.782073,322
60922,33.672064,-117.782177,323
60922,33.672373,-117.782681,324
60922,33.672431,-117.782773,325
60922,33.672865,-117.783513,326
60922,33.672981,-117.783705,327
60922,33.673443,-117.784494,328
60922,33.673463,-117.784524,329
60922,33.673524,-117.784625,330
60922,33.673603,-117.784764,331
60922,33.673672,-117.784884,332
60922,33.673991,-117.78544,333
60922,33.674133,-117.785678,334
60922,33.674716,-117.786659,335
60922,33.674917,-117.786999,336
60922,33.675114,-117.787343,337
60922,33.675173,-117.787473,338
60922,33.675227,-117.787594,339
60922,33.67534,-117.787855,340
60922,33.675479,-117.788178,341
60922,33.67557,-117.78839,342
60922,33.675839,-117.789237,343
60922,33.675988,-117.789832,344
60922,33.676154,-117.790644,345
60922,33.676217,-117.79102,346
60922,33.676258,-117.791555,347
60922,33.67627,-117.791704,348
60922,33.676301,-117.792606,349
60922,33.676311,-117.793283,350
60922,33.676312,-117.793454,351
60922,33.676318,-117.794187,352
60922,33.676322,-117.794601,353
60922,33.676383,-117.79534,354
60922,33.676512,-117.796033,355
60922,33.676534,-117.796115,356
60922,33.676638,-117.796498,357
60922,33.676745,-117.796854,358
60922,33.676778,-117.79696,359
60922,33.67683,-117.797085,360
60922,33.676838,-117.797105,361
60922,33.676996,-117.797485,362
60922,33.677133,-117.797766,363
60922,33.677362,-117.798236,364
60922,33.677403,-117.798303,365
60922,33.677644,-117.798692,366
60922,33.678027,-117.79924,367
60922,33.67826,-117.799483,368
60922,33.678348,-117.799575,369
60922,33.678555,-117.799771,370
60922,33.678936,-117.800132,371
60922,33.67909,-117.800284,372
60922,33.679165,-117.800358,373
60922,33.679771,-117.800963,374
60922,33.679691,-117.801042,375
60922,33.67919,-117.801565,376
60922,33.679027,-117.801714,377
60922,33.67902,-117.801721,378
60922,33.678871,-117.801862,379
60922,33.67885,-117.801881,380
60922,33.678683,-117.802036,381
60922,33.678527,-117.802184,382
60922,33.678249,-117.802449,383
60922,33.677918,-117.802777,384
60922,33.677678,-117.803012,385
60922,33.677531,-117.803151,386
60922,33.677446,-117.803231,387
60922,33.677276,-117.803398,388
60922,33.677126,-117.803544,389
60922,33.67706,-117.803609,390
60922,33.676853,-117.803804,391
60922,33.676586,-117.804055,392
60922,33.676359,-117.804268,393
60922,33.676063,-117.804547,394
60922,33.675998,-117.804608,395
60922,33.676105,-117.804733,396
60922,33.676112,-117.804742,397
60922,33.676244,-117.804906,398
60922,33.676372,-117.80508,399
60922,33.676499,-117.805261,400
60922,33.676621,-117.805446,401
60922,33.676709,-117.805592,402
60922,33.676726,-117.805621,403
60922,33.67678,-117.805714,404
60922,33.676847,-117.805836,405
60922,33.677004,-117.806123,406
60922,33.677065,-117.806239,407
60922,33.677169,-117.806437,408
60922,33.677217,-117.806525,409
60922,33.677351,-117.806774,410
60922,33.677535,-117.807119,411
60922,33.677678,-117.807387,412
60922,33.677824,-117.807653,413
60922,33.6779,-117.807788,414
60922,33.67798,-117.807921,415
60922,33.678014,-117.807974,416
60922,33.678102,-117.80811,417
60922,33.67819,-117.808246,418
60922,33.678221,-117.808292,419
60922,33.678275,-117.80837,420
60922,33.678356,-117.808483,421
60922,33.678438,-117.808596,422
60922,33.678505,-117.808683,423
60922,33.678573,-117.80877,424
60922,33.678668,-117.808885,425
60922,33.678811,-117.809052,426
60922,33.678992,-117.809253,427
60922,33.679073,-117.809335,428
60922,33.679122,-117.809386,429
60922,33.679197,-117.809323,430
60922,33.67926,-117.809263,431
60922,33.679429,-117.809125,432
60922,33.679585,-117.808999,433
60922,33.679601,-117.808986,434
60922,33.679771,-117.808851,435
60922,33.679779,-117.808844,436
60922,33.679814,-117.808813,437
60922,33.679823,-117.808805,438
60922,33.679992,-117.808654,439
60922,33.680032,-117.80862,440
60922,33.680055,-117.8086,441
60922,33.680574,-117.808134,442
60922,33.680639,-117.808076,443
60922,33.680655,-117.80806,444
60922,33.680942,-117.807773,445
60922,33.681225,-117.807481,446
60922,33.681251,-117.807448,447
